a,b,R2
1.202405,0.000000,0.248480
1.205411,0.000000,0.254251
1.208417,0.000000,0.259942
1.211423,0.000000,0.265553
1.214429,0.000000,0.271082
1.217435,0.000000,0.276531
1.220441,0.000000,0.281900
1.223447,0.000000,0.287188
1.226453,0.000000,0.292395
1.229459,0.000000,0.297522
1.232465,0.000000,0.302568
1.235471,0.000000,0.307533
1.238477,0.000000,0.312418
1.241483,0.000000,0.317222
1.244489,0.000000,0.321945
1.247495,0.000000,0.326588
1.250501,0.000000,0.331151
1.253507,0.000000,0.335632
1.256513,0.000000,0.340034
1.259519,0.000000,0.344354
1.262525,0.000000,0.348594
1.265531,0.000000,0.352753
1.268537,0.000000,0.356832
1.271543,0.000000,0.360830
1.274549,0.000000,0.364747
1.277555,0.000000,0.368584
1.280561,0.000000,0.372340
1.283567,0.000000,0.376016
1.286573,0.000000,0.379610
1.289579,0.000000,0.383125
1.292585,0.000000,0.386558
1.295591,0.000000,0.389912
1.298597,0.000000,0.393184
1.301603,0.000000,0.396376
1.304609,0.000000,0.399487
1.307615,0.000000,0.402518
1.310621,0.000000,0.405468
1.313627,0.000000,0.408337
1.316633,0.000000,0.411126
1.319639,0.000000,0.413834
1.322645,0.000000,0.416461
1.325651,0.000000,0.419008
1.328657,0.000000,0.421475
1.331663,0.000000,0.423860
1.334669,0.000000,0.426165
1.337675,0.000000,0.428390
1.340681,0.000000,0.430534
1.343687,0.000000,0.432597
1.346693,0.000000,0.434579
1.349699,0.000000,0.436481
1.352705,0.000000,0.438303
1.355711,0.000000,0.440043
1.358717,0.000000,0.441704
1.361723,0.000000,0.443283
1.364729,0.000000,0.444782
1.367735,0.000000,0.446200
1.370741,0.000000,0.447538
1.373747,0.000000,0.448795
1.376754,0.000000,0.449971
1.379760,0.000000,0.451067
1.382766,0.000000,0.452082
1.385772,0.000000,0.453017
1.388778,0.000000,0.453871
1.391784,0.000000,0.454644
1.394790,0.000000,0.455337
1.397796,0.000000,0.455949
1.400802,0.000000,0.456481
1.403808,0.000000,0.456932
1.406814,0.000000,0.457302
1.409820,0.000000,0.457592
1.412826,0.000000,0.457801
1.415832,0.000000,0.457929
1.418838,0.000000,0.457977
1.421844,0.000000,0.457944
1.424850,0.000000,0.457831
1.427856,0.000000,0.457636
1.430862,0.000000,0.457362
1.433868,0.000000,0.457007
1.436874,0.000000,0.456571
1.439880,0.000000,0.456054
1.442886,0.000000,0.455457
1.445892,0.000000,0.454779
1.448898,0.000000,0.454021
1.451904,0.000000,0.453182
1.454910,0.000000,0.452262
1.457916,0.000000,0.451262
1.460922,0.000000,0.450181
1.463928,0.000000,0.449020
1.466934,0.000000,0.447778
1.469940,0.000000,0.446455
1.472946,0.000000,0.445052
1.475952,0.000000,0.443568
1.478958,0.000000,0.442003
1.481964,0.000000,0.440358
1.484970,0.000000,0.438632
1.487976,0.000000,0.436826
1.490982,0.000000,0.434939
1.493988,0.000000,0.432972
1.496994,0.000000,0.430923
1.500000,0.000000,0.428794
0.000000,0.002004,-8.483843
0.003006,0.002004,-8.445902
0.006012,0.002004,-8.408041
0.009018,0.002004,-8.370261
0.012024,0.002004,-8.332562
0.015030,0.002004,-8.294943
0.018036,0.002004,-8.257405
0.021042,0.002004,-8.219947
0.024048,0.002004,-8.182570
0.027054,0.002004,-8.145274
0.030060,0.002004,-8.108058
0.033066,0.002004,-8.070923
0.036072,0.002004,-8.033868
0.039078,0.002004,-7.996895
0.042084,0.002004,-7.960001
0.045090,0.002004,-7.923189
0.048096,0.002004,-7.886457
0.051102,0.002004,-7.849805
0.054108,0.002004,-7.813234
0.057114,0.002004,-7.776744
0.060120,0.002004,-7.740334
0.063126,0.002004,-7.704005
0.066132,0.002004,-7.667757
0.069138,0.002004,-7.631589
0.072144,0.002004,-7.595502
0.075150,0.002004,-7.559496
0.078156,0.002004,-7.523570
0.081162,0.002004,-7.487725
0.084168,0.002004,-7.451960
0.087174,0.002004,-7.416276
0.090180,0.002004,-7.380672
0.093186,0.002004,-7.345150
0.096192,0.002004,-7.309707
0.099198,0.002004,-7.274346
0.102204,0.002004,-7.239065
