a,b,R2
0.517786,-0.118868,0.000000
0.519790,-0.118868,0.000000
0.521794,-0.118868,0.000000
0.523798,-0.118868,0.000000
0.525802,-0.118868,0.000000
0.527806,-0.118868,0.000000
0.529810,-0.118868,0.000000
0.531814,-0.118868,0.000000
0.533818,-0.118868,0.000000
0.535822,-0.118868,0.000000
0.537826,-0.118868,0.000000
0.539830,-0.118868,0.000000
0.541834,-0.118868,0.000000
0.543838,-0.118868,0.000000
0.545842,-0.118868,0.000000
0.547846,-0.118868,0.000000
0.549850,-0.118868,0.000000
0.551854,-0.118868,0.000000
0.553858,-0.118868,0.000000
0.555862,-0.118868,0.000000
0.557866,-0.118868,0.000000
0.559870,-0.118868,0.000000
0.561874,-0.118868,0.000000
0.563878,-0.118868,0.000000
0.565882,-0.118868,0.000000
0.567886,-0.118868,0.000000
0.569890,-0.118868,0.000000
0.571894,-0.118868,0.000000
0.573898,-0.118868,0.000000
0.575902,-0.118868,0.000000
0.577906,-0.118868,0.000000
0.579910,-0.118868,0.000000
0.581914,-0.118868,0.000000
0.583918,-0.118868,0.000000
0.585922,-0.118868,0.000000
0.587926,-0.118868,0.000000
0.589930,-0.118868,0.000000
0.591934,-0.118868,0.000000
0.593938,-0.118868,0.000000
0.595942,-0.118868,0.000000
0.597946,-0.118868,0.000000
0.599950,-0.118868,0.000000
0.601954,-0.118868,0.000000
0.603958,-0.118868,0.000000
0.605962,-0.118868,0.000000
0.607966,-0.118868,0.000000
0.609970,-0.118868,0.000000
0.611974,-0.118868,0.000000
0.613978,-0.118868,0.000000
0.615983,-0.118868,0.000000
0.617987,-0.118868,0.000000
0.619991,-0.118868,0.000000
0.621995,-0.118868,0.000000
0.623999,-0.118868,0.000000
0.626003,-0.118868,0.000000
0.628007,-0.118868,0.000000
0.630011,-0.118868,0.000000
0.632015,-0.118868,0.000000
0.634019,-0.118868,0.000000
0.636023,-0.118868,0.000000
0.638027,-0.118868,0.000000
0.640031,-0.118868,0.000000
0.642035,-0.118868,0.000000
0.644039,-0.118868,0.000000
0.646043,-0.118868,0.000000
0.648047,-0.118868,0.000000
0.650051,-0.118868,0.000000
0.652055,-0.118868,0.000000
0.654059,-0.118868,0.000000
0.656063,-0.118868,0.000000
0.658067,-0.118868,0.000000
0.660071,-0.118868,0.000000
0.662075,-0.118868,0.000000
0.664079,-0.118868,0.000000
0.666083,-0.118868,0.000000
0.668087,-0.118868,0.000000
0.670091,-0.118868,0.000000
0.672095,-0.118868,0.000000
0.674099,-0.118868,0.000000
0.676103,-0.118868,0.000000
0.678107,-0.118868,0.000000
