a,b,R2
0.810820,-0.020416,0.000000
0.812824,-0.020416,0.000000
0.814828,-0.020416,0.000000
0.816832,-0.020416,0.000000
0.818836,-0.020416,0.000000
0.820840,-0.020416,0.000000
0.822844,-0.020416,0.000000
0.824848,-0.020416,0.000000
0.826852,-0.020416,0.000000
0.828856,-0.020416,0.000000
0.830860,-0.020416,0.000000
0.832864,-0.020416,0.000000
0.834868,-0.020416,0.000000
0.836872,-0.020416,0.000000
0.838876,-0.020416,0.000000
0.840880,-0.020416,0.000000
0.842884,-0.020416,0.000000
0.844888,-0.020416,0.000000
0.846892,-0.020416,0.000000
0.848896,-0.020416,0.000000
0.850900,-0.020416,0.000000
0.852904,-0.020416,0.000000
0.854908,-0.020416,0.000000
0.856912,-0.020416,0.000000
0.858916,-0.020416,0.000000
0.860920,-0.020416,0.000000
0.862924,-0.020416,0.000000
0.864928,-0.020416,0.000000
0.866932,-0.020416,0.000000
0.868936,-0.020416,0.000000
0.870940,-0.020416,0.000000
0.872944,-0.020416,0.000000
0.874948,-0.020416,0.000000
0.876952,-0.020416,0.000000
0.878956,-0.020416,0.000000
0.880960,-0.020416,0.000000
0.882964,-0.020416,0.000000
0.884968,-0.020416,0.000000
0.886972,-0.020416,0.000000
0.888976,-0.020416,0.000000
0.890980,-0.020416,0.000000
0.892984,-0.020416,0.000000
0.894988,-0.020416,0.000000
0.896992,-0.020416,0.000000
0.898996,-0.020416,0.000000
0.901000,-0.020416,0.000000
0.903004,-0.020416,0.000000
0.905008,-0.020416,0.000000
0.907012,-0.020416,0.000000
0.909016,-0.020416,0.000000
0.911020,-0.020416,0.000000
0.913024,-0.020416,0.000000
0.915028,-0.020416,0.000000
0.917032,-0.020416,0.000000
0.919036,-0.020416,0.000000
0.921040,-0.020416,0.000000
0.923044,-0.020416,0.000000
0.925048,-0.020416,0.000000
0.927052,-0.020416,0.000000
0.929056,-0.020416,0.000000
0.931060,-0.020416,0.000000
0.933064,-0.020416,0.000000
0.935068,-0.020416,0.000000
0.937072,-0.020416,0.000000
0.939076,-0.020416,0.000000
0.941080,-0.020416,0.000000
0.943084,-0.020416,0.000000
0.945088,-0.020416,0.000000
0.947092,-0.020416,0.000000
0.949096,-0.020416,0.000000
0.951100,-0.020416,0.000000
0.953104,-0.020416,0.000000
0.955108,-0.020416,0.000000
0.957112,-0.020416,0.000000
0.959116,-0.020416,0.000000
0.961120,-0.020416,0.000000
0.963124,-0.020416,0.000000
0.965128,-0.020416,0.000000
0.967132,-0.020416,0.000000
0.969136,-0.020416,0.000000
0.971140,-0.020416,0.000000
0.973144,-0.020416,0.000000
0.975148,-0.020416,0.000000
0.977152,-0.020416,0.000000
0.979156,-0.020416,0.000000
0.981160,-0.020416,0.000000
0.983164,-0.020416,0.000000
0.985168,-0.020416,0.000000
0.987172,-0.020416,0.000000
0.989176,-0.020416,0.000000
0.991180,-0.020416,0.000000
0.993185,-0.020416,0.000000
0.995189,-0.020416,0.000000
0.997193,-0.020416,0.000000
0.999197,-0.020416,0.000000
1.001201,-0.020416,0.000000
1.003205,-0.020416,0.000000
1.005209,-0.020416,0.000000
1.007213,-0.020416,0.000000
1.009217,-0.020416,0.000000
1.011221,-0.020416,0.000000
1.013225,-0.020416,0.000000
1.015229,-0.020416,0.000000
1.017233,-0.020416,0.000000
1.019237,-0.020416,0.000000
1.021241,-0.020416,0.000000
1.023245,-0.020416,0.000000
1.025249,-0.020416,0.000000
1.027253,-0.020416,0.000000
1.029257,-0.020416,0.000000
1.031261,-0.020416,0.000000
1.033265,-0.020416,0.000000
1.035269,-0.020416,0.000000
1.037273,-0.020416,0.000000
1.039277,-0.020416,0.000000
1.041281,-0.020416,0.000000
1.043285,-0.020416,0.000000
1.045289,-0.020416,0.000000
1.047293,-0.020416,0.000000
1.049297,-0.020416,0.000000
1.051301,-0.020416,0.000000
1.053305,-0.020416,0.000000
1.055309,-0.020416,0.000000
1.057313,-0.020416,0.000000
1.059317,-0.020416,0.000000
1.061321,-0.020416,0.000000
1.063325,-0.020416,0.000000
1.065329,-0.020416,0.000000
1.067333,-0.020416,0.000000
1.069337,-0.020416,0.000000
1.071341,-0.020416,0.000000
1.073345,-0.020416,0.000000
1.075349,-0.020416,0.000000
1.077353,-0.020416,0.000000
1.079357,-0.020416,0.000000
1.081361,-0.020416,0.000000
1.083365,-0.020416,0.000000
1.085369,-0.020416,0.000000
1.087373,-0.020416,0.000000
1.089377,-0.020416,0.000000
1.091381,-0.020416,0.000000
1.093385,-0.020416,0.000000
1.095389,-0.020416,0.000000
1.097393,-0.020416,0.000000
1.099397,-0.020416,0.000000
1.101401,-0.020416,0.000000
1.103405,-0.020416,0.000000
1.105409,-0.020416,0.000000
1.107413,-0.020416,0.000000
1.109417,-0.020416,0.000000
1.111421,-0.020416,0.000000
1.113425,-0.020416,0.000000
1.115429,-0.020416,0.000000
1.117433,-0.020416,0.000000
1.119437,-0.020416,0.000000
1.121441,-0.020416,0.000000
1.123445,-0.020416,0.000000
1.125449,-0.020416,0.000000
1.127453,-0.020416,0.000000
1.129457,-0.020416,0.000000
1.131461,-0.020416,0.000000
1.133465,-0.020416,0.000000
1.135469,-0.020416,0.000000
1.137473,-0.020416,0.000000
1.139477,-0.020416,0.000000
1.141481,-0.020416,0.000000
1.143485,-0.020416,0.000000
1.145489,-0.020416,0.000000
1.147493,-0.020416,0.000000
1.149497,-0.020416,0.000000
1.151501,-0.020416,0.000000
1.153505,-0.020416,0.000000
1.155509,-0.020416,0.000000
1.157513,-0.020416,0.000000
1.159517,-0.020416,0.000000
1.161521,-0.020416,0.000000
1.163525,-0.020416,0.000000
1.165529,-0.020416,0.000000
1.167533,-0.020416,0.000000
1.169537,-0.020416,0.000000
1.171541,-0.020416,0.000000
1.173545,-0.020416,0.000000
1.175549,-0.020416,0.000000
1.177553,-0.020416,0.000000
1.179557,-0.020416,0.000000
1.181561,-0.020416,0.000000
1.183565,-0.020416,0.000000
1.185569,-0.020416,0.000000
1.187573,-0.020416,0.000000
1.189577,-0.020416,0.000000
1.191581,-0.020416,0.000000
1.193585,-0.020416,0.000000
1.195589,-0.020416,0.000000
0.195589,-0.018412,0.000000
0.197593,-0.018412,0.000000
0.199597,-0.018412,0.000000
0.201601,-0.018412,0.000000
0.203605,-0.018412,0.000000
0.205609,-0.018412,0.000000
0.207613,-0.018412,0.000000
0.209617,-0.018412,0.000000
0.211621,-0.018412,0.000000
0.213625,-0.018412,0.000000
0.215629,-0.018412,0.000000
0.217633,-0.018412,0.000000
0.219637,-0.018412,0.000000
0.221641,-0.018412,0.000000
0.223645,-0.018412,0.000000
0.225649,-0.018412,0.000000
0.227653,-0.018412,0.000000
0.229657,-0.018412,0.000000
0.231661,-0.018412,0.000000
0.233665,-0.018412,0.000000
0.235669,-0.018412,0.000000
0.237673,-0.018412,0.000000
0.239677,-0.018412,0.000000
0.241681,-0.018412,0.000000
0.243686,-0.018412,0.000000
0.245690,-0.018412,0.000000
0.247694,-0.018412,0.000000
0.249698,-0.018412,0.000000
0.251702,-0.018412,0.000000
0.253706,-0.018412,0.000000
0.255710,-0.018412,0.000000
0.257714,-0.018412,0.000000
0.259718,-0.018412,0.000000
0.261722,-0.018412,0.000000
0.263726,-0.018412,0.000000
0.265730,-0.018412,0.000000
0.267734,-0.018412,0.000000
0.269738,-0.018412,0.000000
0.271742,-0.018412,0.000000
0.273746,-0.018412,0.000000
0.275750,-0.018412,0.000000
0.277754,-0.018412,0.000000
0.279758,-0.018412,0.000000
0.281762,-0.018412,0.000000
0.283766,-0.018412,0.000000
0.285770,-0.018412,0.000000
0.287774,-0.018412,0.000000
0.289778,-0.018412,0.000000
0.291782,-0.018412,0.000000
0.293786,-0.018412,0.000000
0.295790,-0.018412,0.000000
0.297794,-0.018412,0.000000
0.299798,-0.018412,0.000000
0.301802,-0.018412,0.000000
0.303806,-0.018412,0.000000
0.305810,-0.018412,0.000000
0.307814,-0.018412,0.000000
0.309818,-0.018412,0.000000
0.311822,-0.018412,0.000000
0.313826,-0.018412,0.000000
0.315830,-0.018412,0.000000
0.317834,-0.018412,0.000000
0.319838,-0.018412,0.000000
0.321842,-0.018412,0.000000
0.323846,-0.018412,0.000000
0.325850,-0.018412,0.000000
0.327854,-0.018412,0.000000
0.329858,-0.018412,0.000000
0.331862,-0.018412,0.000000
0.333866,-0.018412,0.000000
0.335870,-0.018412,0.000000
0.337874,-0.018412,0.000000
0.339878,-0.018412,0.000000
0.341882,-0.018412,0.000000
0.343886,-0.018412,0.000000
0.345890,-0.018412,0.000000
0.347894,-0.018412,0.000000
0.349898,-0.018412,0.000000
0.351902,-0.018412,0.000000
0.353906,-0.018412,0.000000
0.355910,-0.018412,0.000000
0.357914,-0.018412,0.000000
0.359918,-0.018412,0.000000
0.361922,-0.018412,0.000000
0.363926,-0.018412,0.000000
0.365930,-0.018412,0.000000
0.367934,-0.018412,0.000000
0.369938,-0.018412,0.000000
0.371942,-0.018412,0.000000
0.373946,-0.018412,0.000000
0.375950,-0.018412,0.000000
0.377954,-0.018412,0.000000
0.379958,-0.018412,0.000000
0.381962,-0.018412,0.000000
0.383966,-0.018412,0.000000
0.385970,-0.018412,0.000000
0.387974,-0.018412,0.000000
0.389978,-0.018412,0.000000
0.391982,-0.018412,0.000000
0.393986,-0.018412,0.000000
0.395990,-0.018412,0.000000
0.397994,-0.018412,0.000000
