a,b,R2
1.142285,0.000000,-1.312172
1.145291,0.000000,-1.302203
1.148297,0.000000,-1.292334
1.151303,0.000000,-1.282565
1.154309,0.000000,-1.272897
1.157315,0.000000,-1.263329
1.160321,0.000000,-1.253861
1.163327,0.000000,-1.244494
1.166333,0.000000,-1.235228
1.169339,0.000000,-1.226062
1.172345,0.000000,-1.216996
1.175351,0.000000,-1.208031
1.178357,0.000000,-1.199167
1.181363,0.000000,-1.190402
1.184369,0.000000,-1.181739
1.187375,0.000000,-1.173175
1.190381,0.000000,-1.164712
1.193387,0.000000,-1.156350
1.196393,0.000000,-1.148088
1.199399,0.000000,-1.139927
1.202405,0.000000,-1.131865
1.205411,0.000000,-1.123905
1.208417,0.000000,-1.116045
1.211423,0.000000,-1.108285
1.214429,0.000000,-1.100626
1.217435,0.000000,-1.093067
1.220441,0.000000,-1.085608
1.223447,0.000000,-1.078251
1.226453,0.000000,-1.070993
1.229459,0.000000,-1.063836
1.232465,0.000000,-1.056779
1.235471,0.000000,-1.049823
1.238477,0.000000,-1.042968
1.241483,0.000000,-1.036212
1.244489,0.000000,-1.029558
1.247495,0.000000,-1.023003
1.250501,0.000000,-1.016550
1.253507,0.000000,-1.010196
1.256513,0.000000,-1.003943
1.259519,0.000000,-0.997791
1.262525,0.000000,-0.991739
1.265531,0.000000,-0.985787
1.268537,0.000000,-0.979936
1.271543,0.000000,-0.974185
1.274549,0.000000,-0.968535
1.277555,0.000000,-0.962985
1.280561,0.000000,-0.957536
1.283567,0.000000,-0.952187
1.286573,0.000000,-0.946938
1.289579,0.000000,-0.941790
1.292585,0.000000,-0.936743
1.295591,0.000000,-0.931796
1.298597,0.000000,-0.926949
1.301603,0.000000,-0.922203
1.304609,0.000000,-0.917557
1.307615,0.000000,-0.913012
1.310621,0.000000,-0.908567
1.313627,0.000000,-0.904222
1.316633,0.000000,-0.899978
1.319639,0.000000,-0.895835
1.322645,0.000000,-0.891792
1.325651,0.000000,-0.887849
1.328657,0.000000,-0.884007
1.331663,0.000000,-0.880265
1.334669,0.000000,-0.876624
1.337675,0.000000,-0.873083
1.340681,0.000000,-0.869643
1.343687,0.000000,-0.866303
1.346693,0.000000,-0.863063
1.349699,0.000000,-0.859924
1.352705,0.000000,-0.856886
1.355711,0.000000,-0.853948
1.358717,0.000000,-0.851110
1.361723,0.000000,-0.848373
1.364729,0.000000,-0.845736
1.367735,0.000000,-0.843200
1.370741,0.000000,-0.840764
1.373747,0.000000,-0.838429
1.376754,0.000000,-0.836194
1.379760,0.000000,-0.834059
1.382766,0.000000,-0.832025
1.385772,0.000000,-0.830091
1.388778,0.000000,-0.828258
1.391784,0.000000,-0.826526
1.394790,0.000000,-0.824893
1.397796,0.000000,-0.823361
1.400802,0.000000,-0.821930
1.403808,0.000000,-0.820599
1.406814,0.000000,-0.819369
1.409820,0.000000,-0.818239
1.412826,0.000000,-0.817209
1.415832,0.000000,-0.816280
1.418838,0.000000,-0.815451
1.421844,0.000000,-0.814723
1.424850,0.000000,-0.814095
1.427856,0.000000,-0.813568
1.430862,0.000000,-0.813141
1.433868,0.000000,-0.812815
1.436874,0.000000,-0.812589
1.439880,0.000000,-0.812463
1.442886,0.000000,-0.812438
1.445892,0.000000,-0.812514
1.448898,0.000000,-0.812690
1.451904,0.000000,-0.812966
1.454910,0.000000,-0.813343
1.457916,0.000000,-0.813820
1.460922,0.000000,-0.814398
1.463928,0.000000,-0.815076
1.466934,0.000000,-0.815854
1.469940,0.000000,-0.816733
1.472946,0.000000,-0.817713
1.475952,0.000000,-0.818793
1.478958,0.000000,-0.819973
1.481964,0.000000,-0.821254
1.484970,0.000000,-0.822635
1.487976,0.000000,-0.824117
1.490982,0.000000,-0.825699
1.493988,0.000000,-0.827381
1.496994,0.000000,-0.829164
1.500000,0.000000,-0.831048
0.000000,0.002004,-12.307241
0.003006,0.002004,-12.259204
0.006012,0.002004,-12.211268
0.009018,0.002004,-12.163433
0.012024,0.002004,-12.115697
0.015030,0.002004,-12.068063
0.018036,0.002004,-12.020529
0.021042,0.002004,-11.973095
0.024048,0.002004,-11.925762
0.027054,0.002004,-11.878529
0.030060,0.002004,-11.831396
0.033066,0.002004,-11.784364
0.036072,0.002004,-11.737433
0.039078,0.002004,-11.690602
0.042084,0.002004,-11.643871
0.045090,0.002004,-11.597241
0.048096,0.002004,-11.550711
0.051102,0.002004,-11.504282
0.054108,0.002004,-11.457953
0.057114,0.002004,-11.411725
0.060120,0.002004,-11.365597
0.063126,0.002004,-11.319570
0.066132,0.002004,-11.273643
0.069138,0.002004,-11.227816
0.072144,0.002004,-11.182090
0.075150,0.002004,-11.136464
0.078156,0.002004,-11.090939
0.081162,0.002004,-11.045514
0.084168,0.002004,-11.000190
0.087174,0.002004,-10.954966
0.090180,0.002004,-10.909843
0.093186,0.002004,-10.864820
0.096192,0.002004,-10.819897
0.099198,0.002004,-10.775075
0.102204,0.002004,-10.730354
0.105210,0.002004,-10.685733
0.108216,0.002004,-10.641212
0.111222,0.002004,-10.596792
0.114228,0.002004,-10.552472
0.117234,0.002004,-10.508252
0.120240,0.002004,-10.464134
0.123246,0.002004,-10.420115
0.126253,0.002004,-10.376197
0.129259,0.002004,-10.332380
0.132265,0.002004,-10.288662
0.135271,0.002004,-10.245046
0.138277,0.002004,-10.201530
0.141283,0.002004,-10.158114
0.144289,0.002004,-10.114799
0.147295,0.002004,-10.071584
0.150301,0.002004,-10.028469
0.153307,0.002004,-9.985455
0.156313,0.002004,-9.942542
