Time (s),FORCE_COEFFICIENT_CD,FORCE_COEFFICIENT_CL,FORCE_COEFFICIENT_CLF,FORCE_COEFFICIENT_CLR,FORCE_COEFFICIENT_CM
"                 641",6.368519176195e-01,2.363861860363e-03,-1.114753139493e-04,2.475337174313e-03,-1.293406244131e-03
"                 642",6.368698559421e-01,2.355777875081e-03,-1.050691087371e-04,2.460846983818e-03,-1.282958046278e-03
"                 643",6.368784557937e-01,2.340757564411e-03,-9.902262022274e-05,2.439780184634e-03,-1.269401402428e-03
"                 644",6.368842438872e-01,2.336381322874e-03,-9.517281034586e-05,2.431554133220e-03,-1.263363471783e-03
"                 645",6.368949609941e-01,2.319711922632e-03,-8.840012783027e-05,2.408112050462e-03,-1.248256089146e-03
"                 646",6.369082034642e-01,2.314157001733e-03,-8.367330596734e-05,2.397830307700e-03,-1.240751806834e-03
"                 647",6.369295484917e-01,2.302141217717e-03,-7.943121097964e-05,2.381572428696e-03,-1.230501819838e-03
"                 648",6.369529302884e-01,2.307315112685e-03,-8.104557598333e-05,2.388360688668e-03,-1.234703132326e-03
"                 649",6.369870615685e-01,2.301638523736e-03,-7.987578637838e-05,2.381514310114e-03,-1.230695048246e-03
"                 650",6.370284444316e-01,2.308442555504e-03,-8.180289139662e-05,2.390245446900e-03,-1.236024169148e-03
"                 651",6.370709549605e-01,2.310543193901e-03,-8.445800378275e-05,2.395001197684e-03,-1.239729600733e-03
"                 652",6.371119381236e-01,2.325315843108e-03,-9.105111357129e-05,2.416366956679e-03,-1.253709035125e-03
"                 653",6.371605431321e-01,2.324591032299e-03,-9.210986136731e-05,2.416700893666e-03,-1.254405377517e-03
"                 654",6.372020459945e-01,2.337136110502e-03,-9.739765769702e-05,2.434533768199e-03,-1.265965712948e-03
"                 655",6.372473970943e-01,2.331235739110e-03,-9.525013071063e-05,2.426485869820e-03,-1.260868000266e-03
"                 656",6.372704092848e-01,2.344067539894e-03,-1.020382387356e-04,2.446105778630e-03,-1.274072008683e-03
"                 657",6.373023991021e-01,2.334070388292e-03,-9.736489286822e-05,2.431435281160e-03,-1.264400087014e-03
"                 658",6.373192613159e-01,2.335715026517e-03,-9.798838510809e-05,2.433703411625e-03,-1.265845898366e-03
"                 659",6.373374718977e-01,2.322510980500e-03,-9.134052335764e-05,2.413851503858e-03,-1.252596013608e-03
"                 660",6.373456814575e-01,2.315769829021e-03,-8.683567767998e-05,2.402605506701e-03,-1.244720592190e-03
"                 661",6.373524008516e-01,2.302152146210e-03,-8.149994753443e-05,2.383652093745e-03,-1.232576020640e-03
"                 662",6.373606079574e-01,2.292294610568e-03,-7.484118733534e-05,2.367135797904e-03,-1.220988492619e-03
"                 663",6.373703949916e-01,2.276371340134e-03,-6.850303885913e-05,2.344874378993e-03,-1.206688708926e-03
"                 664",6.373793552924e-01,2.275395089319e-03,-6.632019677696e-05,2.341715286096e-03,-1.204017741437e-03
"                 665",6.374061868900e-01,2.261330805636e-03,-6.039522010574e-05,2.321726025742e-03,-1.191060622924e-03
"                 666",6.374274231272e-01,2.269288863926e-03,-6.502512590939e-05,2.334313989836e-03,-1.199669557872e-03
"                 667",6.374640079830e-01,2.264195492564e-03,-6.256097476773e-05,2.326756467331e-03,-1.194658721050e-03
"                 668",6.375004853829e-01,2.271739895460e-03,-6.571484034451e-05,2.337454735805e-03,-1.201584788075e-03
"                 669",6.375403843903e-01,2.277007559639e-03,-7.043223032049e-05,2.347439789960e-03,-1.208936010140e-03
"                 670",6.375855625932e-01,2.287878482489e-03,-7.445830632822e-05,2.362336788817e-03,-1.218397547573e-03
"                 671",6.376279170582e-01,2.290243832007e-03,-7.755694157451e-05,2.367800773581e-03,-1.222678857578e-03
"                 672",6.376648623517e-01,2.303234502394e-03,-8.259169386731e-05,2.385826196261e-03,-1.234208945064e-03
"                 673",6.377032820987e-01,2.298112691358e-03,-8.122324984634e-05,2.379335941204e-03,-1.230279595525e-03
"                 674",6.377282118427e-01,2.306330508667e-03,-8.521753105782e-05,2.391548039725e-03,-1.238382785391e-03
"                 675",6.377568838175e-01,2.297055331527e-03,-8.117532064778e-05,2.378230652175e-03,-1.229702986411e-03
"                 676",6.377661023724e-01,2.301069320004e-03,-8.283420564053e-05,2.383903525644e-03,-1.233368865642e-03
"                 677",6.377808550355e-01,2.286448085236e-03,-7.567996180243e-05,2.362128047039e-03,-1.218904004421e-03
"                 678",6.377859815077e-01,2.281019342990e-03,-7.196714114328e-05,2.352986484134e-03,-1.212476812639e-03
"                 679",6.377966018051e-01,2.264187732761e-03,-6.442755367268e-05,2.328615286434e-03,-1.196521420053e-03
"                 680",6.377958195705e-01,2.258522497000e-03,-6.063116406798e-05,2.319153661068e-03,-1.189892412568e-03
"                 681",6.378057557271e-01,2.240654947348e-03,-5.220844789595e-05,2.292863395243e-03,-1.172535921570e-03
"                 682",6.378142964809e-01,2.238770177732e-03,-5.065047819376e-05,2.289420655926e-03,-1.170035567060e-03
"                 683",6.378371802974e-01,2.231027507275e-03,-4.823398428066e-05,2.279261491556e-03,-1.163747737918e-03
"                 684",6.378593928585e-01,2.237081698628e-03,-5.086001350413e-05,2.287941712132e-03,-1.169400862818e-03
"                 685",6.378911420307e-01,2.234072191528e-03,-4.990061604899e-05,2.283972807577e-03,-1.166936711813e-03
"                 686",6.379285756358e-01,2.240193733156e-03,-5.200963204650e-05,2.292203365202e-03,-1.172106498624e-03
"                 687",6.379705740559e-01,2.244822677385e-03,-5.697478083719e-05,2.301797458223e-03,-1.179386119530e-03
